Time Stamp	Broker	Sequence ID	Trade Type	Symbol	Quantity	Price	Side
10/5/2017 10:00:00 AM	Fidelity	1	2	BARK	100	1.195	Buy
10/5/2017 10:00:01 AM	Charles Schwab	1	2	CARD	200	6.855	Sell
10/5/2017 10:00:02 AM	AXA Advisors	1	K	BRIC	5000	30.7	Sell
10/5/2017 10:00:03 AM	National Planning Corporation	1	K	LGHT	400	140	Buy
10/5/2017 10:00:04 AM	Edward Jones	1	K	HOOF	150	39.1	Buy
10/5/2017 10:00:05 AM	Raymond James Financial	1	K	YLLW	200	11	Buy
10/5/2017 10:00:06 AM	Wells Fargo Advisors	1	K	LGHT	100	140.1	Sell
10/5/2017 10:00:08 AM	LPL Financial	1	K	LGHT	600	140.005	Sell
10/5/2017 10:00:11 AM	TD Ameritrade	1	K	LOUD	200	10.95	Buy
10/5/2017 10:00:40 AM	Fidelity	2	2	LGHT	100	140.05	Buy
10/5/2017 10:00:41 AM	Fidelity	3	K	BARK	100	1.19	Buy
10/5/2017 10:00:41 AM	Wells Fargo Advisors	2	K	LGHT	100	140.01	Sell
10/5/2017 10:00:42 AM	Charles Schwab	3	K	HOOF	100	39.11	Buy
10/5/2017 10:00:43 AM	Edward Jones	2	2	BARK	400	88.3	Buy
10/5/2017 10:00:43 AM	TD Ameritrade	3	2	GLOO	500	40.01	Sell
10/5/2017 10:00:44 AM	Ameriprise Financial	2	K	LGHT	800	98.765	Sell
10/5/2017 10:00:44 AM	Ameriprise Financial	3	2	LOUD	400	10.96	Sell
10/5/2017 10:00:45 AM	TD Ameritrade	2	K	HOOF	200	76.48	Sell
10/5/2017 10:00:45 AM	Raymond James Financial	3	2	CARD	8000	6.555	Buy
10/5/2017 10:00:46 AM	Raymond James Financial	2	2	YLLW	100000	11.1	Sell
10/5/2017 10:00:46 AM	AXA Advisors	3	2	BRIC	400	30.71	Sell
10/5/2017 10:00:47 AM	AXA Advisors	2	2	CARD	700	6.9	Sell
10/5/2017 10:00:48 AM	LPL Financial	2	K	BRIC	300	30.705	Sell
10/5/2017 10:00:49 AM	National Planning Corporation	2	K	BRIC	200	30.71	Sell
10/5/2017 10:00:49 AM	Edward Jones	3	2	LOUD	400	10.96	Sell
